Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,1.8976
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.1284
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
